,events,woba_value,launch_speed,launch_angle
1463,double,1.25,104.0,22.0
1473,single,0.9,103.2,13.0
1479,home_run,2.0,100.1,27.0
1480,field_out,0.0,66.6,-43.0
1481,field_out,0.0,73.7,62.0
1491,field_out,0.0,97.8,62.0
1500,single,0.9,109.2,-3.0
1503,field_out,0.0,48.1,-8.0
1505,field_out,0.0,105.5,45.0
1513,field_out,0.0,75.8,14.0
1520,field_out,0.0,70.6,9.0
1531,single,0.9,106.0,-14.0
1541,single,0.9,100.1,11.0
1545,field_out,0.0,76.5,-29.0
1547,field_out,0.0,87.8,-19.0
1549,field_out,0.0,81.4,5.0
1565,single,0.9,94.7,14.0
1571,field_out,0.0,91.8,-2.0
1578,double,1.25,103.8,13.0
1579,double,1.25,91.7,15.0
1582,field_out,0.0,62.3,-38.0
1590,field_out,0.0,44.7,-55.0
1595,single,0.9,80.7,2.0
1601,single,0.9,92.8,-20.0
1604,field_out,0.0,92.9,-17.0
1623,field_out,0.0,112.7,1.0
1627,field_out,0.0,83.4,-18.0
1628,field_out,0.0,100.0,-5.0
1633,single,0.9,76.1,16.0
1638,double,1.25,101.0,19.0
1645,single,0.9,102.3,5.0
1647,single,0.9,105.8,4.0
1652,field_out,0.0,69.0,-16.0
1660,field_out,0.0,96.0,51.0
1663,single,0.9,80.9,-22.0
1667,field_out,0.0,101.7,18.0
1670,field_out,0.0,94.0,23.0
1680,field_out,0.0,90.4,43.0
1683,field_out,0.0,72.8,-25.0
1684,field_out,0.0,103.8,-1.0
1687,field_out,0.0,83.8,5.0
1694,field_out,0.0,91.9,34.0
1696,double,1.25,105.3,13.0
1701,field_out,0.0,81.4,-53.0
1705,field_out,0.0,76.2,32.0
