,events,woba_value,launch_speed,launch_angle
8175,single,0.9,87.3,13.0
8180,field_out,0.0,70.6,-60.0
8186,field_out,0.0,71.1,67.0
8187,field_out,0.0,63.3,48.0
8192,single,0.9,98.3,-2.0
8197,field_out,0.0,80.3,29.0
8203,field_out,0.0,95.4,-16.0
8204,field_out,0.0,89.5,67.0
8206,field_out,0.0,88.3,-22.0
8218,field_out,0.0,75.7,32.0
8223,field_out,0.0,96.3,20.0
8227,field_out,0.0,90.6,46.0
8230,field_out,0.0,105.3,2.0
8234,field_out,0.0,102.6,1.0
8264,single,0.9,76.7,20.0
8290,field_out,0.0,76.1,59.0
8299,field_out,0.0,48.6,-30.0
8302,field_out,0.0,92.8,49.0
8306,field_out,0.0,91.0,52.0
8308,field_out,0.0,102.5,33.0
8313,field_out,0.0,90.1,22.0
8330,field_out,0.0,108.9,2.0
8339,field_out,0.0,106.6,3.0
8350,double,1.25,98.9,17.0
8351,field_out,0.0,96.8,46.0
8353,double,1.25,111.4,15.0
8360,field_out,0.0,72.7,5.0
8387,double,1.25,70.4,38.0
8398,single,0.9,82.3,9.0
8401,single,0.9,94.6,10.0
8405,single,0.9,89.0,15.0
8407,double,1.25,79.1,39.0
8414,field_out,0.0,76.8,70.0
8417,field_out,0.0,89.6,20.0
8422,single,0.9,76.5,23.0
8425,single,0.9,65.1,-52.0
8437,single,0.9,106.0,1.0
8444,field_out,0.0,76.1,34.0
8458,field_out,0.0,106.9,1.0
8460,field_out,0.0,97.5,30.0
8463,field_out,0.0,105.7,-4.0
8471,home_run,2.0,101.3,26.0
8474,field_out,0.0,66.9,65.0
8485,single,0.9,74.8,34.0
8488,single,0.9,71.5,14.0
8494,single,0.9,106.7,10.0
8495,field_out,0.0,76.0,-22.0
8502,double,1.25,64.2,-5.0
8515,double,1.25,102.6,12.0
8520,single,0.9,88.4,9.0
8524,field_out,0.0,90.9,5.0
8525,field_out,0.0,83.5,-22.0
8530,double,1.25,103.3,25.0
8536,single,0.9,76.0,17.0
